"nx_goods_id"	"nx_goods_name"	"nx_goods_standardname"	"nx_goods_father_id"	"sku_stored_grand_id"	"sku_should_grand_id"	"sku_stored_gg_id"	"sku_should_gg_id"
"100137"	"西瓜"	"斤"	"10231"	"108"		"1"	
"100138"	"黄柠檬"	"斤"	"10232"	"108"		"1"	
"100139"	"橙子"	"斤"	"10233"	"108"		"1"	
"100140"	"苹果"	"斤"	"10234"	"108"		"1"	
"100141"	"哈密瓜"	"斤"	"10235"	"108"		"1"	
"100142"	"桃"	"斤"	"10236"	"108"		"1"	
"100143"	"甜瓜"	"斤"	"10237"	"108"		"1"	
"100144"	"红心火龙果"	"斤"	"10238"	"108"		"1"	
"100145"	"香蕉"	"斤"	"10239"	"108"		"1"	
"100147"	"菠萝"	"斤"	"10241"	"108"		"1"	
"100148"	"荔枝"	"斤"	"10242"	"108"		"1"	
"100149"	"橘子"	"斤"	"10243"	"108"		"1"	
"100150"	"葡萄"	"斤"	"10244"	"108"		"1"	
"100151"	"红百香果"	"斤"	"10245"	"108"		"1"	
"100152"	"芒果"	"斤"	"10246"	"108"		"1"	
"100153"	"蓝莓"	"盒"	"10247"	"108"		"1"	
"100154"	"白心柚子"	"斤"	"10248"	"108"		"1"	
"100155"	"国产提子"	"斤"	"10249"	"108"		"1"	
"100156"	"牛油果"	"个"	"10250"	"108"		"1"	
"100157"	"木瓜"	"斤"	"10251"	"108"		"1"	
"100158"	"草莓"	"斤"	"10252"	"108"		"1"	
"100160"	"椰子"	"斤"	"10254"	"108"		"1"	
"100161"	"泰国小核龙眼"	"斤"	"10255"	"108"		"1"	
"100162"	"猕猴桃"	"斤"	"10256"	"108"		"1"	
"100163"	"甘蔗"	"斤"	"10257"	"108"		"1"	
"100164"	"杨桃"	"个"	"10258"	"108"		"1"	
"100165"	"油桃"	"斤"	"10259"	"108"		"1"	
"100166"	"冬枣"	"斤"	"10260"	"108"		"1"	
"100167"	"金桔"	"斤"	"10261"	"108"		"1"	
"100168"	"枇杷"	"斤"	"10262"	"108"		"1"	
"100169"	"薄荷叶"	"斤"	"10263"	"109"		"1"	
"100170"	"法香"	"斤"	"10264"	"109"		"1"	
"100171"	"兰花"	"把"	"10265"	"109"		"1"	
"100172"	"三色堇"	"盒"	"10266"	"109"		"1"	
"100173"	"苏子叶"	"斤"	"10267"	"109"		"1"	
"100174"	"紫苏叶"	"斤"	"10268"	"109"		"1"	
"100175"	"百合"	"袋"	"10269"	"109"		"1"	
"100176"	"迷迭香"	"斤"	"10270"	"109"		"1"	
"100177"	"鲜茅草"	"斤"	"10271"	"109"		"1"	
"100178"	"冰草"	"斤"	"10272"	"109"		"1"	
"100179"	"丝瓜尖"	"斤"	"10273"	"109"		"1"	
"100180"	"百里香"	"斤"	"10274"	"109"		"1"	
"100181"	"紫菊苣"	"斤"	"10275"	"109"		"1"	
"100182"	"黄瓜花苗"	"斤"	"10276"	"109"		"1"	
"100183"	"鱼腥草根"	"斤"	"10277"	"109"		"1"	
"100185"	"牛蒡"	"斤"	"10279"	"109"		"1"	
"100187"	"猪肉后臀尖"	"斤"	"10281"	"201"		"2"	
"100188"	"鲜猪前臀尖"	"斤"	"10282"	"201"		"2"	
"100191"	"鲜猪五花肉"	"斤"	"10285"	"201"		"2"	
"100193"	"鲜猪肋排"	"斤"	"10287"	"201"		"2"	
"100196"	"鲜猪通脊"	"斤"	"10290"	"201"		"2"	
"100198"	"鲜鸡腿"	"斤"	"10292"	"202"		"2"	
"100199"	"鲜鸡边腿"	"斤"	"10293"	"202"		"2"	
"100200"	"鲜鸡琵琶腿"	"斤"	"10294"	"202"		"2"	
"100201"	"鲜三黄鸡"	"斤"	"10295"	"202"		"2"	
"100202"	"鲜乌鸡"	"斤"	"10296"	"202"		"2"	
"100203"	"鲜仔鸡"	"斤"	"10297"	"202"		"2"	
"100204"	"鲜老母鸡"	"斤"	"10298"	"202"		"2"	
"100205"	"鲜鸡大胸"	"斤"	"10299"	"202"		"2"	
"100206"	"鲜鸡翅根"	"斤"	"10300"	"202"		"2"	
"100207"	"鲜鸡全翅"	"斤"	"10301"	"202"		"2"	
"100208"	"鲜鸡翅尖"	"斤"	"10302"	"202"		"2"	
"100209"	"鲜鸡翅中"	"斤"	"10303"	"202"		"2"	
"100222"	"鲜牛后腿肉"	"斤"	"10316"	"203"		"2"	
"100223"	"鲜牛腩"	"斤"	"10317"	"203"		"2"	
"100224"	"鲜牛棒骨"	"斤"	"10318"	"203"		"2"	
"100225"	"鲜牛肉馅"	"斤"	"10319"	"203"		"2"	
"100231"	"鲜牛里脊"	"斤"	"10325"	"203"		"2"	
"100234"	"鲜牛霖"	"斤"	"10328"	"203"		"2"	
"100235"	"鲜羊后腿肉"	"斤"	"10329"	"204"		"2"	
"100237"	"鲜羊前腿肉"	"斤"	"10331"	"204"		"2"	
"100238"	"鲜羊腩"	"斤"	"10332"	"204"		"2"	
"100239"	"鲜羊小里脊"	"斤"	"10333"	"204"		"2"	
"100240"	"鲜羊棒骨"	"斤"	"10334"	"204"		"2"	
"100241"	"鲜羊排"	"斤"	"10335"	"204"		"2"	
"100242"	"鲜羊腰子"	"斤"	"10336"	"204"		"2"	
"100243"	"鲜羊脆骨"	"斤"	"10337"	"204"		"2"	
"100244"	"鲜羊肉馅"	"斤"	"10338"	"204"		"2"	
"100245"	"鸡蛋"	"斤"	"10339"	"205"		"2"	
"100247"	"鹌鹑蛋"	"斤"	"10341"	"205"		"2"	
"100248"	"咸鸭蛋"	"个"	"10342"	"205"		"2"	
"100250"	"皮蛋"	"斤"	"10344"	"205"		"2"	
"100253"	"海天味极鲜"	"瓶"	"10395"	"301"		"3"	
"100254"	"水塔陈醋"	"瓶"	"10394"	"301"		"3"	
"100255"	"海天生抽酱油"	"瓶"	"10395"	"301"		"3"	
"100256"	"海天草菇老抽"	"桶"	"10395"	"301"		"3"	
"100257"	"龙门米醋"	"瓶"	"10397"	"301"		"3"	
"100258"	"白醋"	"瓶"	"10398"	"301"		"3"	
"100259"	"海天红烧酱油"	"瓶"	"10395"	"301"		"3"	
"100261"	"醋精"	"瓶"	"10535"	"301"		"3"	
"100262"	"家乐鸡精"	"袋"	"10401"	"302"		"3"	
"100263"	"伊品味精"	"袋"	"10402"	"302"		"3"	
"100264"	"白糖"	"包"	"10403"	"302"		"3"	
"100266"	"盐"	"袋"	"12037"	"302"		"3"	
"100269"	"王守义十三香"	"袋"	"10408"	"302"		"3"	
"100272"	"家乐鸡粉"	"桶"	"10411"	"302"		"3"	
"100273"	"冰糖"	"斤"	"12104"	"302"		"3"	
"100274"	"福斧头食粉"	"盒"	"10413"	"302"		"3"	
"100275"	"安琪高活性干酵母"	"袋"	"10414"	"302"		"3"	
"100278"	"红糖"	"袋"	"10417"	"302"		"3"	
"100281"	"椒盐粉"	"斤"	"11808"	"302"		"3"	
"100285"	"狮皇吉士粉"	"包"	"10424"	"302"		"3"	
"100289"	"增鲜剂"	"斤"	"10428"	"302"		"3"	
"100290"	"片糖"	"斤"	"10429"	"302"		"3"	
"100291"	"甜味剂"	"斤"	"10430"	"302"		"3"	
"100293"	"可可粉"	"斤"	"10432"	"302"		"3"	
"100294"	"碱面"	"袋"	"10565"	"302"		"3"	
"100295"	"番茄酱"	"桶"	"10433"	"303"		"3"	
"100296"	"芝麻酱"	"瓶"	"10434"	"303"		"3"	
"100298"	"豆瓣酱"	"桶"	"10436"	"303"		"3"	
"100299"	"豆豉"	"斤"	"10437"	"303"		"3"	
"100300"	"辣椒酱"	"斤"	"10438"	"303"		"3"	
"100301"	"六月香甜面酱"	"盒"	"10439"	"303"		"3"	
"100304"	"海天海鲜酱"	"瓶"	"10442"	"303"		"3"	
"100307"	"黑胡椒酱"	"瓶"	"11798"	"303"		"3"	
"100310"	"花生酱"	"瓶"	"10448"	"303"		"3"	
"100311"	"叉烧酱"	"瓶"	"10449"	"303"		"3"	
"100313"	"蛋黄酱"	"瓶"	"10451"	"303"		"3"	
"100314"	"红豆沙"	"袋"	"10452"	"303"		"3"	
"100316"	"雀巢淡奶油"	"盒"	"12615"	"404"		"4"	
"100319"	"酸汤酱"	"瓶"	"10527"	"303"		"3"	
"100320"	"阿香婆香辣酱"	"瓶"	"10529"	"303"		"3"	
"100321"	"六必居干黄酱"	"袋"	"10439"	"303"		"3"	
"100324"	"李锦记排骨酱"	"桶"	"10533"	"303"		"3"	
"100327"	"丘比沙拉酱"	"袋"	"10547"	"303"		"3"	
"100329"	"香油"	"瓶"	"10457"	"304"		"3"	
"100330"	"料酒"	"瓶"	"10458"	"304"		"3"	
"100331"	"五丰黎红麻椒油"	"瓶"	"10459"	"304"		"3"	
"100332"	"蒸鱼豉油"	"瓶"	"10460"	"304"		"3"	
"100335"	"辣鲜露"	"瓶"	"10463"	"304"		"3"	
"100336"	"辣椒油"	"瓶"	"10464"	"304"		"3"	
"100337"	"道道麻藤椒油"	"瓶"	"10465"	"304"		"3"	
"100339"	"上海黄酒"	"瓶"	"10467"	"304"		"3"	
"100340"	"鱼露"	"瓶"	"10468"	"304"		"3"	
"100344"	"山胡椒油"	"瓶"	"10472"	"304"		"3"	
"100345"	"干锅油"	"瓶"	"10518"	"304"		"3"	
"100346"	"金牌高达椰浆"	"听"	"10558"	"304"		"3"	
"100347"	"肉宝王"	"桶"	"10564"	"304"		"3"	
"100348"	"干辣椒"	"斤"	"10473"	"305"		"3"	
"100350"	"八角"	"斤"	"10475"	"305"		"3"	
"100351"	"孜然粒"	"斤"	"10476"	"305"		"3"	
"100353"	"桂皮"	"斤"	"10478"	"305"		"3"	
"100354"	"干香叶"	"斤"	"10479"	"305"		"3"	
"100355"	"胡椒"	"斤"	"10480"	"305"		"3"	
"100357"	"麻椒"	"斤"	"10562"	"305"		"3"	
"100358"	"干腐竹"	"袋"	"10481"	"306"		"3"	
"100359"	"干黑木耳"	"斤"	"10482"	"306"		"3"	
"100360"	"芝麻"	"斤"	"10483"	"306"		"3"	
"100363"	"干银耳"	"斤"	"10486"	"306"		"3"	
"100364"	"干香菇"	"斤"	"10487"	"306"		"3"	
"100366"	"干枸杞"	"斤"	"10489"	"306"		"3"	
"100367"	"烤麸干"	"斤"	"10490"	"306"		"3"	
"100368"	"干粉丝"	"斤"	"10491"	"306"		"3"	
"100369"	"红薯粉条"	"斤"	"10492"	"306"		"3"	
"100370"	"土豆粉"	"袋"	"10493"	"306"		"3"	
"100371"	"大圆粉皮"	"斤"	"10494"	"306"		"3"	
"100374"	"蕨根粉"	"包"	"10517"	"306"		"3"	
"100379"	"虾皮"	"斤"	"10499"	"506"		"5"	
"100384"	"面条"	"斤"	"10504"	"401"		"4"	
"100385"	"馄饨皮"	"斤"	"10505"	"401"		"4"	
"100386"	"饺子皮"	"斤"	"10506"	"401"		"4"	
"100387"	"年糕"	"斤"	"10507"	"402"		"4"	
"100388"	"馒头"	"个"	"10508"	"403"		"4"	
"100389"	"饼丝"	"斤"	"10509"	"403"		"4"	
"100390"	"花卷"	"个"	"10510"	"403"		"4"	
"100393"	"鲜草鱼"	"斤"	"10347"	"501"		"5"	
"100394"	"鲜鲤鱼"	"斤"	"10348"	"501"		"5"	
"100395"	"鲜白鲢鱼"	"斤"	"10349"	"501"		"5"	
"100396"	"鲜武昌鱼"	"斤"	"10350"	"501"		"5"	
"100400"	"鲜淡水鲈鱼"	"斤"	"10354"	"501"		"5"	
"100401"	"鲜花鲢鱼"	"斤"	"10355"	"501"		"5"	
"100402"	"鲜罗非鱼"	"斤"	"10356"	"501"		"5"	
"100408"	"鲜活花蛤"	"斤"	"10362"	"502"		"5"	
"100409"	"鲜活生蚝"	"个"	"10363"	"502"		"5"	
"100410"	"鲜活小龙虾"	"斤"	"10364"	"502"		"5"	
"100412"	"冷冻带鱼"	"件"	"10366"	"503"		"5"	
"100413"	"冻巴沙鱼片"	"袋"	"10367"	"503"		"5"	
"100415"	"冷冻小黄鱼"	"件"	"10369"	"503"		"5"	
"100416"	"冷冻明太鱼"	"件"	"10370"	"503"		"5"	
"100417"	"冷冻罗非鱼"	"件"	"10371"	"503"		"5"	
"100421"	"1620冷冻虾仁"	"袋"	"10374"	"504"		"5"	
"100430"	"干海带"	"斤"	"10383"	"506"		"5"	
"100431"	"干裙带菜"	"斤"	"10384"	"506"		"5"	
"100433"	"干海蜇"	"斤"	"10386"	"506"		"5"	
"100435"	"鲜活田螺"	"斤"	"10388"	"507"		"5"	
"100437"	"冰鲜海带"	"斤"	"10390"	"508"		"5"	
"100438"	"冰鲜海蜇"	"斤"	"10391"	"508"		"5"	
"100439"	"冰鲜章鱼"	"斤"	"10392"	"508"		"5"	
"100440"	"酸白菜"	"件"	"10511"	"602"		"6"	
"100441"	"酸豆角"	"袋"	"10512"	"602"		"6"	
"100442"	"酱牛肉"	"斤"	"10514"	"604"		"6"	
"100444"	"打包盒"	"件"	"10515"	"701"		"7"	
"100445"	"一次性筷子"	"件"	"10519"	"701"		"7"	
"100447"	"餐巾纸"	"件"	"10521"	"701"		"7"	
"100449"	"钢丝球"	"包"	"10542"	"702"		"7"	
"100450"	"洗洁精"	"瓶"	"10543"	"702"		"7"	
"100451"	"蟑螂喷剂"	"瓶"	"10544"	"702"		"7"	
"100453"	"百洁布"	"包"	"10560"	"702"		"7"	
"100456"	"大号打包袋"	"把"	"10548"	"703"		"7"	
"100457"	"5号电池 "	"个"	"10546"	"705"		"7"	
"100460"	"香太菜籽油"	"桶"	"10554"	"902"		"9"	
"100461"	"红小豆"	"斤"	"10556"	"904"		"9"	
"100462"	"花生米"	"斤"	"10563"	"904"		"9"	
"100464"	"黑爪鸡"	"斤"	"10536"	"202"		"2"	
"100468"	" 牛奶"	"箱"	"10557"	"1102"		"11"	
"100470"	"圆白菜"	"斤"	"10101"	"101"		"1"	
"100471"	"娃娃菜"	"斤"	"10106"	"101"		"1"	
"100481"	"黏玉米"	"斤"	"10169"	"103"		"1"	
"100490"	"菜心"	"斤"	"10118"	"101"		"1"	
"100507"	"鱼酸菜"	"袋"	"10570"	"602"		"6"	
"100509"	"腊肉"	"斤"	"10572"	"606"		"6"	
"100512"	"隔油纸"	"卷"	"10574"	"703"		"7"	
"100513"	"麦仁"	"斤"	"10575"	"904"		"9"	
"100514"	"扫把"	"把"	"10545"	"702"		"7"	
"100519"	"冻鸡胗"	"包"	"10553"	"1001"		"10"	
"100520"	"冻鸭翅"	"件"	"10555"	"1001"		"10"	
"100521"	"玉米粒"	"袋"	"10497"	"1206"		"12"	
"100523"	"雀巢美级鲜味汁"	"瓶"	"10578"	"301"		"3"	
"100526"	"山药"	"斤"	"10139"	"102"		"1"	
"100529"	"牛头肉"	"斤"	"10580"	"604"		"6"	
"100530"	"培根"	"袋"	"10581"	"1203"		"12"	
"100536"	"香脆芽菜"	"袋"	"10584"	"602"		"6"	
"100538"	"火锅底料"	"袋"	"10586"	"303"		"3"	
"100539"	"白豆腐丝"	"斤"	"10587"	"107"		"1"	
"100544"	"香芹"	"斤"	"10590"	"101"		"1"	
"100545"	"西芹"	"斤"	"10591"	"101"		"1"	
"100547"	"大叶生菜"	"斤"	"10113"	"101"		"1"	
"100550"	"绿豆"	"斤"	"10595"	"904"		"9"	
"100551"	"味达美冰糖老抽"	"瓶"	"10596"	"301"		"3"	
"100553"	"绿葡萄干"	"斤"	"10597"	"306"		"3"	
"100557"	"玉米羹"	"瓶"	"10601"	"307"		"3"	
"100559"	"剁椒"	"瓶"	"10603"	"303"		"3"	
"100563"	"料包袋"	"板"	"10607"	"703"		"7"	
"100564"	"鲜乌江鱼"	"斤"	"10608"	"501"		"5"	
"100565"	"淀粉"	"斤"	"10404"	"302"		"3"	
"100566"	"鲜牛腱子"	"斤"	"10609"	"203"		"2"	
"100567"	"石桥大酱"	"袋"	"10439"	"303"		"3"	
"100568"	"鲜牛肉"	"斤"	"10611"	"203"		"2"	
"100571"	"线茄"	"斤"	"10614"	"103"		"1"	
"100573"	"酱油"	"瓶"	"10616"	"301"		"3"	
"100576"	"盖菜"	"斤"	"10617"	"101"		"1"	
"100578"	"榨菜"	"斤"	"10619"	"602"		"6"	
"100580"	"泡椒"	"瓶"	"10620"	"602"		"6"	
"100581"	"海天黄豆酱"	"桶"	"10534"	"303"		"3"	
"100582"	"冻鸡翅根"	"斤"	"10579"	"1001"		"10"	
"100583"	"鱿鱼圈"	"件"	"10621"	"509"		"5"	
"100584"	"尺子"	"把"	"10622"	"707"		"7"	
"100585"	"贝贝南瓜"	"斤"	"10623"	"103"		"1"	
"100586"	"厨师帽"	"袋"	"10624"	"706"		"7"	
"100587"	"美人椒"	"斤"	"10589"	"105"		"1"	
"100588"	"订书针"	"盒"	"10625"	"707"		"7"	
"100589"	"百花荆花蜂蜜"	"瓶"	"10626"	"303"		"3"	
"100598"	"辣椒面"	"斤"	"10629"	"305"		"3"	
"100599"	"刀削面"	"斤"	"10630"	"401"		"4"	
"100600"	"切面条"	"斤"	"10631"	"401"		"4"	
"100610"	"青柠檬"	"斤"	"10232"	"108"		"1"	
"100611"	"黑豆苗"	"盒"	"10541"	"101"		"1"	
"100613"	"水果玉米"	"斤"	"10169"	"103"		"1"	
"100616"	"干辣椒段"	"斤"	"10473"	"305"		"3"	
"100617"	"辣椒王段"	"包"	"10473"	"305"		"3"	
"100621"	"冻琵琶退"	"袋"	"10639"	"1001"		"10"	
"100622"	"目鱼花"	"袋"	"10640"	"509"		"5"	
"100623"	"三明治"	"个"	"10641"	"605"		"6"	
"100624"	"泡仔姜"	"桶"	"11940"	"602"		"6"	
"100628"	"樱桃小萝卜"	"斤"	"10645"	"102"		"1"	
"100630"	"冷冻大虾"	"盒"	"10648"	"504"		"5"	
"100632"	"大娃娃菜"	"斤"	"10106"	"101"		"1"	
"100634"	"淘大黄豆酱油"	"瓶"	"10616"	"301"		"3"	
"100636"	"香辣辣椒面"	"斤"	"10629"	"305"		"3"	
"100637"	"白蔻"	"斤"	"10651"	"305"		"3"	
"100638"	"薄荷粉"	"袋"	"10652"	"302"		"3"	
"100642"	"冷面"	"包"	"10653"	"401"		"4"	
"100644"	"花干"	"箱"	"10655"	"306"		"3"	
"100647"	"豆腐干"	"斤"	"10657"	"107"		"1"	
"100650"	"金快达浓椰浆"	"桶"	"10558"	"304"		"3"	
"100651"	"罗马生菜"	"斤"	"10660"	"101"		"1"	
"100682"	"黄咖喱"	"袋"	"10663"	"302"		"3"	
"100689"	"金黄旗东北酸菜"	"袋"	"10511"	"602"		"6"	
"100691"	"金针菇"	"袋"	"10198"	"106"		"1"	
"100693"	"鸡蛋"	"框"	"10339"	"205"		"2"	
"100695"	"花边纸"	"盒"	"10666"	"703"		"7"	
"100696"	"干滑子菇 40"	"斤"	"10667"	"306"		"3"	
"100697"	"鸡爪"	"斤"	"10668"	"202"		"2"	
"100698"	"海米"	"斤"	"10669"	"506"		"5"	
"100700"	"坛坛乡精致剁辣椒"	"瓶"	"10603"	"303"		"3"	
"100701"	"保宁醋"	"桶"	"10671"	"301"		"3"	
"100702"	"面包片"	"袋"	"10672"	"404"		"4"	
"100704"	"蒿子杆"	"斤"	"10674"	"101"		"1"	
"100706"	"原味酸豆角整根"	"件"	"10512"	"602"		"6"	
"100707"	"A4打印纸"	"件"	"10675"	"707"		"7"	
"100708"	"永川豆豉"	"盒"	"10437"	"303"		"3"	
"100710"	"粗盐"	"袋"	"12037"	"302"		"3"	
"100713"	"白不老"	"斤"	"10677"	"103"		"1"	
"100714"	"去污剂"	"瓶"	"10678"	"702"		"7"	
"100715"	"蛇豆"	"斤"	"10679"	"103"		"1"	
"100718"	"腊肠"	"斤"	"10682"	"606"		"6"	
"100721"	"大豆油"	"桶"	"10685"	"902"		"9"	
"100723"	"青笋"	"斤"	"10687"	"102"		"1"	
"100725"	"骨肉相连"	"袋"	"10689"	"1202"		"12"	
"100727"	"大号垃圾袋"	"卷"	"10691"	"702"		"7"	
"100729"	"拉皮"	"包"	"10693"	"403"		"4"	
"100730"	"咸菜"	"斤"	"10694"	"602"		"6"	
"100735"	"黄豆"	"斤"	"10700"	"904"		"9"	
"100738"	"山楂干"	"斤"	"10703"	"305"		"3"	
"100741"	"绵白糖"	"袋"	"10403"	"302"		"3"	
"100747"	"马扎"	"个"	"10707"	"707"		"7"	
"100749"	"丁点儿高倍鸡汁"	"瓶"	"10462"	"304"		"3"	
"100750"	"小苏打"	"袋"	"10709"	"302"		"3"	
"100752"	"干黄花菜"	"斤"	"10711"	"306"		"3"	
"100753"	"辣白菜"	"袋"	"10712"	"602"		"6"	
"100755"	"煸锅"	"个"	"10714"	"704"		"7"	
